name,chr,cds_start_pos,strand,start,end,sgd_name
YAL069W,1,334,+,334,649,YAL069W
YAL068W-A,1,537,+,537,792,YAL068W-A
YAL068C,1,1806,-,1806,2169,YAL068C
YAL067W-A,1,2479,+,2479,2707,YAL067W-A
YAL067C,1,7235,-,7235,9017,SEO1
YAL066W,1,10091,+,10091,10400,YAL066W
YAL065C,1,11565,-,11565,11952,YAL065C
YAL064W-B,1,12046,+,12046,12427,YAL064W-B
YAL064C-A,1,13363,-,13363,13744,YAL064C-A
YAL064W,1,21525,+,21525,21852,YAL064W
YAL063C-A,1,22396,-,22396,22687,YAL063C-A
YAL063C,1,24000,-,24000,27969,FLO9
YAL062W,1,31567,+,31567,32941,GDH3
YAL061W,1,33448,+,33448,34702,YAL061W
YAL060W,1,35155,+,35155,36304,BDH1
YAL059C-A,1,36496,-,36496,36919,YAL059C-A
YAL059W,1,36509,+,36509,37148,ECM1
YAL058W,1,37464,+,37464,38973,CNE1
YAL056C-A,1,38696,-,38696,39047,YAL056C-A
YAL056W,1,39259,+,39259,41902,GPB2
YAL055W,1,42177,+,42177,42720,PEX22
YAL054C,1,42881,-,42881,45023,ACS1
YAL053W,1,45899,+,45899,48251,YAL053W
YAL051W,1,48564,+,48564,51708,OAF1
YAL049C,1,51855,-,51855,52596,YAL049C
YAL048C,1,52801,-,52801,54790,YAL048C
YAL047W-A,1,54584,+,54584,54914,YAL047W-A
YAL047C,1,54989,-,54989,56858,SPC72
YAL046C,1,57029,-,57029,57386,YAL046C
YAL045C,1,57488,-,57488,57797,YAL045C
YAL044W-A,1,57518,+,57518,57851,YAL044W-A
YAL044C,1,57950,-,57950,58463,YAL044C
YAL043C,1,58695,-,58695,61053,PTA1
YAL042C-A,1,61231,-,61231,61609,YAL042C-A
YAL042W,1,61316,+,61316,62564,ERV46
YAL041W,1,62840,+,62840,65405,CDC24
YAL040C,1,65778,-,65778,67521,CLN3
YAL039C,1,68716,-,68716,69526,CYC3
YAL038W,1,71786,+,71786,73289,CDC19
YAL037C-B,1,72326,-,72326,73301,YAL037C-B
YAL037C-A,1,73426,-,73426,73519,YAL037C-A
YAL037W,1,74020,+,74020,74824,YAL037W
YAL036C,1,75043,-,75043,76153,YAL036C
YAL035W,1,76427,+,76427,79436,FUN12
YAL034C-B,1,79489,-,79489,79843,YAL034C-B
YAL034W-A,1,79718,+,79718,80588,MTW1
YAL034C,1,80710,-,80710,81952,YAL034C
YAL033W,1,82706,+,82706,83228,POP5
YAL032C,1,83335,-,83335,84475,PRP45
